main_image_id,product_type
81iZlv3bjpL,SHOES
619y9YG9cnL,HARDWARE
81NP7qh2L6L,MECHANICAL_COMPONENTS
61Rp4qOih9L,SOFA
714CmIfKIYL,SHOES
81+4dBN1jsL,CELLULAR_PHONE_CASE
61LWeNhjZ9L,CELLULAR_PHONE_CASE
61izEZdhlaL,DRINKING_CUP
71tgJqobw6L,CELLULAR_PHONE_CASE
71E62qS--6L,FURNITURE_COVER
71QExDBDozL,SHOES
71Ajg8gQEoL,CELLULAR_PHONE_CASE
71z2XJ0DW2L,CELLULAR_PHONE_CASE
81RNHjN1X5L,CELLULAR_PHONE_CASE
61Q0baX067L,CELLULAR_PHONE_CASE
71aiNHh7MOL,CELLULAR_PHONE_CASE
71n4+cwHf0L,CELLULAR_PHONE_CASE
71I4fD2ZneL,CELLULAR_PHONE_CASE
61kDp2x8tPL,EARRING
71ynBbd33HL,CELLULAR_PHONE_CASE
71NA-B-bFdL,CELLULAR_PHONE_CASE
71tjy4Ekf5L,HARDWARE_HANDLE
91IjyKZ76qL,HOME
810fadO2BML,CELLULAR_PHONE_CASE
61O+zPYa5AL,CELLULAR_PHONE_CASE
71fT96mT39L,CELLULAR_PHONE_CASE
71q5qvcwI7L,CELLULAR_PHONE_CASE
61NxifiMbuL,CELLULAR_PHONE_CASE
61XWVe-B-sL,CELLULAR_PHONE_CASE
81n2LMvnU-L,CELLULAR_PHONE_CASE
71TKqDLGitL,FLAT_SHEET
61eajEqMf6L,CELLULAR_PHONE_CASE
614LbFKgSsL,WATER_PUMP
614YqF9mtTL,HEALTH_PERSONAL_CARE
71RKqQao9rL,SHOES
71kE0ihplPL,SHOES
81fnogeiBfL,CELLULAR_PHONE_CASE
51TKpL0ljxL,HOME
71x4c-BafpL,SOUND_AND_RECORDING_EQUIPMENT
71-eMu0gN+L,SHOES
610jXVKNJpL,DRINKING_CUP
716zkGeKvyL,CELLULAR_PHONE_CASE
71S0F2JJXEL,CELLULAR_PHONE_CASE
61OnkGVhMWL,HEADPHONES
61p9OeSQH1L,CANDLE
818R27QVJSL,WALLET
515SRd7XpuL,EARRING
81jPNIa-+1L,CELLULAR_PHONE_CASE
71oFcjO2ZsL,CELLULAR_PHONE_CASE
71S8jh9mayL,SHOES
61uONZVpAEL,SHOES
710JUcXJ37L,PORTABLE_ELECTRONIC_DEVICE_COVER
71pbhQgbcZL,CELLULAR_PHONE_CASE
81i4JjJs5RL,CELLULAR_PHONE_CASE
814RXC4DgkL,SHOES
81oNfRT6ebL,GROCERY
71kGA2ndq+L,CELLULAR_PHONE_CASE
71+R8dguS-L,CELLULAR_PHONE_CASE
61fH9aTfMIL,SHOES
71Qitt7H5gL,CELLULAR_PHONE_CASE
91T4zCd6GhL,GROCERY
61y3xfkEpeL,CELLULAR_PHONE_CASE
81HZcUs-M-L,CELLULAR_PHONE_CASE
71iYoiN49ML,HOME_FURNITURE_AND_DECOR
71jqvQpWecL,FAUCET
7197RZj+FhL,CELLULAR_PHONE_CASE
71cyz3P4DKL,SHOES
71ASEq6croL,TOILET_PAPER_HOLDER
71OVrZZpVsL,CELLULAR_PHONE_CASE
61ktISpxZxL,ACCESSORY
71g+HeEpvIL,CELLULAR_PHONE_CASE
61yQuUZwK9L,CELLULAR_PHONE_CASE
815S5YTiRdL,HOME_BED_AND_BATH
71i9fZHR9GL,CELLULAR_PHONE_CASE
81L8EV8ocAL,SHOES
51fDZFHuHjL,BEAUTY
91ULzMo7OZL,BACKPACK
81K5E-eHzIL,CELLULAR_PHONE_CASE
71i72HlSU-L,STORAGE_BAG
71m+J7fdPxL,CLOTHES_HANGER
71j+0adQtoL,CELLULAR_PHONE_CASE
81VvOxBzTQL,CELLULAR_PHONE_CASE
81KwZ1K3vnL,CELLULAR_PHONE_CASE
810iH82SMKL,HOME_BED_AND_BATH
71WVdObsOLL,CELLULAR_PHONE_CASE
71JogmDzrHL,CELLULAR_PHONE_CASE
71OdI+uM9OL,CELLULAR_PHONE_CASE
81Ya6yqWK7L,CELLULAR_PHONE_CASE
71GF5Cojq9L,CELLULAR_PHONE_CASE
616BGmMVE3L,HOME
715LX+Gx2-L,OFFICE_PRODUCTS
81JUIl-ZyYL,LUGGAGE
81KJ3fj54+L,PET_SUPPLIES
61ziarMyIxL,OFFICE_PRODUCTS
51nJ3pLN0PL,CELLULAR_PHONE_CASE
61zIfmRFO+L,CELLULAR_PHONE_CASE
81kZTjuJGVL,TOOLS
71k5iUPFZkL,SANDAL
81TB+4AeEKL,CELLULAR_PHONE_CASE
51-GyrXggbL,NUTRITIONAL_SUPPLEMENT
81taDmc+UwL,CELLULAR_PHONE_CASE
71vh5KgMAaL,CHARGING_ADAPTER
71SczZmlJxL,CELLULAR_PHONE_CASE
81Xh+yZvD1L,TABLE
71i8SuSVKGL,PET_SUPPLIES
81APaH9FMnL,CELLULAR_PHONE_CASE
81fQIg3puaL,PORTABLE_STOVE
61Xh92ENjYL,HOME
61oZ5E9ZnjL,BABY_PRODUCT
71RO6m5tkTL,CELLULAR_PHONE_CASE
71LPlPhPJgL,CELLULAR_PHONE_CASE
71CH0VV1cWL,FINERING
81dnwVESqbL,CELLULAR_PHONE_CASE
61cwM8SBriL,CELLULAR_PHONE_CASE
81o5oM7j6uL,EARRING
81BsB+vpnpL,CELLULAR_PHONE_CASE
91hgdhyiUXL,ORTHOPEDIC_BRACE
71w+9SNWhbL,SHOES
71QIli6pbqL,CELLULAR_PHONE_CASE
71h6rhvKH9L,LIGHT_BULB
71az+-yZfUL,CELLULAR_PHONE_CASE
71oWrFW+icL,HOME
71T+bO0FkKL,CHAIR
71Z27DxyXyL,CELLULAR_PHONE_CASE
61gPM3z66GL,CELLULAR_PHONE_CASE
71fZiwuLhhL,CELLULAR_PHONE_CASE
71hpmLy96+L,CELLULAR_PHONE_CASE
715Q4uySlWL,SHOES
81Zwmg4NljL,FOOD_SERVICE_SUPPLY
41Yy8HxpOLL,BISS
71btFP8P7XL,CELLULAR_PHONE_CASE
71wL64bIfOL,CELLULAR_PHONE_CASE
61oyQU1sPLL,OFFICE_PRODUCTS
61-eEbCIXBL,SNACK_MIX
81Y5IVm8GmL,CELLULAR_PHONE_CASE
71peNqYMrlL,CELLULAR_PHONE_CASE
91tXgMOPq6L,HOME_BED_AND_BATH
71aNVApPGZL,SHOES
71X82uOhFiL,CELLULAR_PHONE_CASE
714Q-IFWMuL,CELLULAR_PHONE_CASE
31xRhZFmvOL,HOME
815X6V9E63L,CELLULAR_PHONE_CASE
81vo88cCcTL,CELLULAR_PHONE_CASE
71lKZc4SZYL,CELLULAR_PHONE_CASE
713lFJtGLLL,CELLULAR_PHONE_CASE
71Xcwsb7vNL,OFFICE_PRODUCTS
71KwV3JHT9L,BOOT
71w4ViqptCL,CELLULAR_PHONE_CASE
71N27IBoUNL,NECKLACE
91MCy5GYp8L,SHOES
81Ev54-ydWL,SHOES
61PCBnfATbL,CELLULAR_PHONE_CASE
81SBXPad8UL,CELLULAR_PHONE_CASE
61UHsyITdKL,HOME
71QBY2nzpuL,CELLULAR_PHONE_CASE
81nJiOGTy4L,CELLULAR_PHONE_CASE
71LL7bMZAiL,FOOD_SLICER
